date,count
04/16/2025,2128
04/17/2025,495
04/18/2025,366
04/21/2025,121
04/22/2025,154
04/23/2025,42
04/24/2025,122
04/25/2025,114
04/28/2025,168
04/29/2025,99
04/30/2025,72
05/01/2025,108
05/02/2025,104
05/05/2025,53
05/06/2025,60
05/07/2025,46
05/08/2025,19
05/09/2025,94
05/12/2025,10
05/13/2025,76
05/14/2025,41
05/15/2025,51
05/16/2025,68
05/19/2025,14
05/20/2025,20
05/21/2025,25
05/22/2025,87
05/23/2025,63
05/27/2025,17
05/28/2025,2
05/29/2025,9
05/30/2025,2
06/02/2025,27
06/03/2025,22
06/04/2025,27
06/05/2025,8
06/06/2025,9
06/09/2025,5
06/10/2025,6
06/11/2025,12
06/12/2025,11
06/13/2025,1
06/16/2025,7
06/17/2025,13
06/18/2025,6
06/19/2025,3
06/20/2025,23
06/23/2025,8
06/24/2025,8
06/25/2025,10
06/26/2025,18
06/27/2025,4
06/30/2025,7
07/01/2025,6
07/02/2025,6
07/03/2025,20
07/07/2025,14
07/08/2025,12
07/09/2025,8
07/10/2025,8
07/11/2025,6
07/14/2025,11
07/15/2025,7
07/16/2025,13
07/17/2025,5
07/18/2025,8
07/21/2025,14
07/22/2025,10
07/23/2025,8
07/24/2025,3
07/25/2025,5
07/28/2025,13
07/29/2025,10
07/30/2025,8
07/31/2025,3
08/01/2025,10
08/04/2025,1
08/05/2025,2
08/06/2025,1
08/07/2025,6
08/08/2025,7
08/11/2025,6
08/12/2025,12
08/13/2025,65
08/14/2025,52
08/15/2025,48
08/18/2025,16
08/19/2025,14
08/20/2025,5
08/21/2025,11
08/22/2025,12
08/25/2025,23
08/26/2025,55
08/27/2025,36
08/28/2025,24
08/29/2025,22
09/02/2025,45
09/03/2025,100
09/04/2025,99
09/05/2025,72
09/08/2025,72
09/09/2025,56
09/10/2025,41
09/11/2025,30
09/12/2025,65
09/15/2025,45
09/16/2025,30
09/17/2025,48
09/18/2025,36
09/19/2025,51
09/22/2025,32
09/23/2025,27
09/24/2025,37
09/25/2025,17
09/26/2025,19
09/29/2025,20
09/30/2025,18
10/01/2025,16
10/02/2025,48
10/03/2025,45
10/06/2025,18
10/07/2025,12
10/08/2025,12
10/09/2025,19
10/10/2025,28
10/13/2025,10
10/14/2025,9
10/15/2025,8
10/16/2025,4
10/17/2025,13
10/20/2025,29
10/21/2025,3
10/22/2025,3
10/23/2025,2
10/24/2025,39
10/27/2025,3
10/28/2025,3
10/29/2025,3
10/30/2025,4
10/31/2025,4
11/03/2025,1
11/04/2025,2
11/05/2025,2
11/06/2025,5
11/07/2025,45
11/10/2025,22
11/11/2025,3
11/12/2025,3
11/13/2025,15
11/14/2025,11
11/17/2025,9
11/18/2025,4
11/19/2025,29
11/20/2025,6
11/21/2025,2
11/24/2025,3
11/25/2025,6
11/26/2025,2
12/01/2025,7
12/02/2025,3
12/03/2025,1
12/04/2025,1
12/05/2025,2
12/08/2025,1
12/09/2025,3
12/10/2025,2
12/11/2025,5
12/12/2025,8
12/15/2025,2
12/16/2025,2
12/17/2025,0
12/18/2025,2
12/19/2025,1
12/22/2025,2
12/23/2025,1
12/24/2025,2
12/29/2025,5
12/30/2025,5
12/31/2025,5
01/02/2026,5
01/05/2026,4
01/06/2026,2
01/07/2026,6
01/08/2026,9
01/09/2026,9
01/12/2026,10
01/13/2026,1
01/14/2026,6
01/15/2026,7
01/16/2026,4
01/19/2026,6
01/20/2026,2
01/21/2026,2
01/22/2026,7
01/23/2026,1
01/27/2026,4
01/28/2026,5
01/29/2026,2
01/30/2026,1
02/02/2026,2
02/03/2026,7
02/04/2026,5
02/05/2026,1
02/06/2026,3
02/09/2026,34
02/10/2026,67
